zpid,bedrooms,bathrooms,price,year_built,living_area_sqft,latitude,longitude,home_type,lot_size_sqft,property_tax_rate,rent_zestimate,zestimate,home_status,is_rental_property,last_sold_price,city,state,zipcode,description,full_address,distance_to_unc_km,proximity_score,year_built_score,distance_to_grocer_km,grocer_score,distance_to_bus_stop_km,distance_to_bus_km,bus_score
50032766.0,5.0,2.5,764100,1991.0,3013.0,35.897522,-79.07789,SINGLE_FAMILY,15245.0,0.84,2491.0,764100.0,OTHER,False,441000.0,Carrboro,NC,27510,"This 3013 square foot single family home has 5 bedrooms and 2.5 bathrooms. This home is located at 302 Orchard Ln #92, Carrboro, NC 27510.","302 Orchard Ln #92, Carrboro, NC 27510",2.863497909811276,3.89,3.95,4.823407397548227,3.55,1.1241959771814343,0.22345425633702698,4.83
50037322.0,8.0,6.0,829100,1927.0,3217.0,35.90751,-79.057396,APARTMENT,11324.0,0.84,4858.0,,OTHER,False,547500.0,Chapel Hill,NC,27516,"This 3217 square foot apartment home has 8 bedrooms and 6.0 bathrooms. This home is located at 232 McCauley St UNIT A, Chapel Hill, NC 27516.","232 McCauley St UNIT A, Chapel Hill, NC 27516",0.7137085833110507,4.56,1.86,2.83388868675705,3.89,0.28067316533761627,0.2281102081852233,4.83
251696953.0,4.0,3.5,965600,1997.0,3009.0,35.960842,-79.14348,SINGLE_FAMILY,535788.0,0.84,3576.0,965600.0,OTHER,False,,Chapel Hill,NC,27516,"This 3009 square foot single family home has 4 bedrooms and 3.5 bathrooms. This home is located at 2034 Foxwood Farm Trl, Chapel Hill, NC 27516.","2034 Foxwood Farm Trl, Chapel Hill, NC 27516",10.150413008619287,3.02,4.15,10.832311691998184,2.97,4.956689323485433,3.822271216603252,3.7
251557517.0,4.0,2.0,453400,1992.0,1658.0,35.89421,-79.179276,SINGLE_FAMILY,125452.0,0.84,2374.0,453400.0,OTHER,False,,Chapel Hill,NC,27516,"This 1658 square foot single family home has 4 bedrooms and 2.0 bathrooms. This home is located at 1509 Partridgeberry Rd #A, Chapel Hill, NC 27516.","1509 Partridgeberry Rd #A, Chapel Hill, NC 27516",11.794717632866353,2.9,3.99,13.919832862816213,2.78,8.010970993066765,7.742408940007666,3.21
50037263.0,2.0,1.0,701600,1942.0,1120.0,35.906284,-79.057724,APARTMENT,23958.0,0.84,1501.0,,OTHER,False,725000.0,Chapel Hill,NC,27516,"In-town bungalow, blocks from campus & Franklin St. Cozy One level with hardwood floors in living room and bedrooms. Decorative fireplace in living room (inoperable - will not be available for use). Eat-in kitchen with white cabinets & exits to deck. Kitchen appliances & washer/dryer included. Covered front porch. Parking in front. No Pets.","308 Ransom St, Chapel Hill, NC 27516",0.8000107297582915,4.52,2.35,2.868822162798793,3.89,0.39328860644231506,0.26626040009047885,4.81
49996513.0,2.0,2.0,254200,1984.0,970.0,35.897545,-79.01004,CONDO,,0.72,1528.0,254200.0,OTHER,False,115000.0,Chapel Hill,NC,27517,"Tenant Occupied on month to month basis, however will be moving out at the end of June, Lovely condition upper level unit with lower level deck and under stair storage. Newer carpet and vinyl in kitchen and foyer, smooth ceilings, great light, all appliances included. Brand new HVAC installed last year! Great neighborhood with private swimming pool, tennis courts, and playgroud.","298 Summerwalk Cir, Chapel Hill, NC 27517",3.86329470712146,3.7,3.73,1.8435457576171874,4.14,0.821705602948427,0.2044377458412967,4.85
50051487.0,5.0,3.0,946800,1991.0,3242.0,35.956764,-79.02905,SINGLE_FAMILY,40511.0,0.84,4222.0,946800.0,OTHER,False,599000.0,Chapel Hill,NC,27514,"This 3242 square foot single family home has 5 bedrooms and 3.0 bathrooms. This home is located at 104 Overlook Pt, Chapel Hill, NC 27514.","104 Overlook Pt, Chapel Hill, NC 27514",5.535083635263348,3.45,3.95,2.2635281866618397,4.03,2.4432254264935116,0.459394925069725,4.69
50042393.0,5.0,3.0,1222800,1987.0,2700.0,35.931885,-79.00614,SINGLE_FAMILY,43124.0,0.84,3400.0,1222800.0,OTHER,False,725000.0,Chapel Hill,NC,27517,"This 2700 square foot single family home has 5 bedrooms and 3.0 bathrooms. This home is located at 101 Nottingham Dr, Chapel Hill, NC 27517.","101 Nottingham Dr, Chapel Hill, NC 27517",4.6541595370844355,3.57,3.82,1.7293131622200069,4.17,1.9281758452977935,0.05797407498820881,4.95
50041489.0,3.0,2.0,414900,1996.0,1456.0,35.94602,-79.01863,TOWNHOUSE,3484.0,0.84,2175.0,414900.0,OTHER,False,260000.0,Chapel Hill,NC,27514,"Offer accepted! Multiple offers! End Unit Townhome corner lot w/ New windows in Erwin Village, Master on first floor. Private quite street! Bright natural light. Newly power washed, Fenced yard with patio & small deck. Newer roof! Hardwood & Laminate floors WOW, they are awesome! Carpet only on stairs! Fresh paint, Move in ready! New stainless steel Samsung appliances! New hot water heater 2014! Home warranty included. Minutes to UNC! Convenient to shopping & 15-501 & 40HWY","201 McGregor Dr #A, Chapel Hill, NC 27514",4.910043688093134,3.54,4.12,1.1536219106833656,4.37,1.6080271841564295,0.2209679463052185,4.84
50052079.0,3.0,2.0,497800,1989.0,1620.0,35.95391,-79.0168,SINGLE_FAMILY,7840.0,0.84,2612.0,497800.0,OTHER,False,295000.0,Chapel Hill,NC,27514,"EASY LIVING AT ITS BEST! Delightful 1 level home nestled on wooded slope on cul-de-sac in COVINGTON PLACE. Dramatic LR/DR w/cathedral ceiling,multiple windows & central FP.New granite in kitchen. Many additional updates:NEW HVAC, interior painted, new carpet,new tile in entry, new lights. Spacious patio in backyard offers outdoor living w/privacy. Wooded low maintenance lot. Convenient location between Chapel Hill & Durham, easy access to I-40, walkable to CH East High.","101 Orchard Ln UNIT 19, Chapel Hill, NC 27514",5.732039877006125,3.43,3.89,2.025113488228141,4.09,2.4294218160269083,0.4287389353441241,4.71
